frame_index,timestamp_seconds,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
0,0.0,1,2,car,0.687903,182.772,107.511,214.268,136.66,198.52,122.085,31.496,29.149
0,0.0,2,2,car,0.539573,88.148,166.979,115.169,190.935,101.658,178.957,27.021,23.957
0,0.0,3,2,car,0.536783,319.531,139.197,345.843,155.097,332.687,147.147,26.312,15.9
0,0.0,4,2,car,0.408307,317.529,170.076,359.459,194.921,338.494,182.498,41.93,24.845
1,0.04,1,2,car,0.814055,181.961,107.823,212.953,136.489,197.457,122.156,30.992,28.666
1,0.04,2,2,car,0.3416,88.695,167.189,116.695,192.032,102.695,179.611,27.999,24.843
1,0.04,3,2,car,0.451536,316.513,138.312,344.137,155.034,330.325,146.673,27.623,16.722
2,0.08,1,2,car,0.793714,181.401,107.686,212.169,136.141,196.785,121.914,30.768,28.455
2,0.08,2,2,car,0.446943,90.429,169.467,116.959,193.005,103.694,181.236,26.531,23.538
2,0.08,5,2,car,0.551985,664.745,204.684,753.644,243.788,709.195,224.236,88.899,39.104
3,0.12,1,2,car,0.721307,180.869,107.706,211.113,135.659,195.991,121.683,30.244,27.954
3,0.12,2,2,car,0.494633,92.016,171.834,117.176,194.11,104.596,182.972,25.16,22.276
3,0.12,5,2,car,0.565243,648.218,200.882,737.555,240.08,692.887,220.481,89.337,39.198
3,0.12,7,2,car,0.410524,103.389,143.837,122.671,156.406,113.03,150.121,19.282,12.569
4,0.16,1,2,car,0.483232,180.583,108.418,209.351,134.912,194.967,121.665,28.768,26.493
4,0.16,2,2,car,0.404265,91.829,172.759,120.067,197.745,105.948,185.252,28.238,24.985
4,0.16,5,2,car,0.649422,629.061,196.731,719.877,236.526,674.469,216.629,90.815,39.795
4,0.16,7,2,car,0.381874,103.185,143.961,123.711,157.355,113.448,150.658,20.525,13.394
5,0.2,1,2,car,0.492811,179.621,108.733,207.824,134.658,193.722,121.696,28.203,25.925
5,0.2,5,2,car,0.648142,615.371,195.355,699.922,232.254,657.646,213.804,84.551,36.899
6,0.24,1,2,car,0.430485,178.911,108.989,206.311,134.151,192.611,121.57,27.399,25.162
6,0.24,5,2,car,0.71076,602.948,195.141,678.12,227.622,640.534,211.381,75.172,32.482
6,0.24,12,2,car,0.585175,302.992,136.779,324.648,150.652,313.82,143.716,21.656,13.873
6,0.24,2,2,car,0.665656,94.85,176.283,123.252,201.265,109.051,188.774,28.402,24.981
7,0.28,12,2,car,0.504931,301.39,136.361,321.331,149.073,311.361,142.717,19.941,12.713
7,0.28,2,2,car,0.684992,96.86,178.526,124.384,202.569,110.622,190.547,27.524,24.043
7,0.28,7,2,car,0.33131,105.601,146.514,126.061,159.915,115.831,153.214,20.46,13.401
8,0.32,12,2,car,0.556428,299.972,136.868,317.416,147.862,308.694,142.365,17.444,10.994
